CLASSCODE,MAJOR
U3,CEEN
U3,CPSC
U2,CVEN
U2,CVEN
U2,MMET
U4,APMS
U4,MEEN
U4,CHEN
U2,STAT
U3,METL
U3,CEEN
U4,CEEN
U3,ECON
U2,CPSC
U3,PHYS
U2,INEN
U2,ENGE
U2,CPSC
U2,CVEN
U2,IDIS
U2,ENGE
U2,STAT
U4,CHEM
U2,INEN
U2,INEN
U2,CPSC
U2,INEN
U3,CVEN
U2,CPSC
U4,MATH
U2,COMP
U2,INEN
U2,CPSC
U4,MEEN
U2,CVEN
U4,METR
U2,CPSC
U2,INEN
U2,ENGE
U3,MMET
U2,GEST
U2,MMET
U2,CVEN
U2,CVEN
U2,CVEN
U3,MMET
U2,CVEN
U4,MMET
U2,CVEN
U3,MMET
U2,ENGE
U2,CVEN
U2,CECN
U2,CECN
U2,CVEN
U3,CVEN
U2,APMS
U2,CPSC
U2,CVEN
U4,PHYS
U4,CEEN
U2,CPSC
U3,CPSC
U3,MMET
U2,INEN
U2,INEN
U2,CPSC
U2,INEN
U4,CVEN
U2,CVEN
U3,CPSC
U2,CVEN
U4,MMET
U2,ENGE
U2,INEN
U3,MMET
U2,OCEN
U2,INEN
U2,CVEN
U4,MEEN
U4,CPSC
U2,ENGE
U2,STAT
U2,CPSC
U2,CVEN
U2,CVEN
U3,COMP
U3,CPSC
U2,CVEN
U3,BICH
U5,CPSC
U2,CPSC
U3,GEOL
U2,CVEN
U3,CEEN
U3,INEN
U3,CPSC
