"CASEID_NEW","PPGENDER","RESPONDENT_RACE","PPAGE","RESPONDENT_YRSED","HHINC","PPPARTYID3","GLBSTATUS","SAME_SEX_COUPLE","PARTNER_RACE","AGE_DIFFERENCE","PARTNER_YRSED","Q23","Q12","HOW_LONG_RELATIONSHIP","PARENTAL_APPROVAL","RELATIONSHIP_QUALITY"
22526,"(2) female","(6) Hispanic",52,16,22250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",4,14,"(3) partner earned more","(2) democrat",7,NA,"(4) good"
23286,"(2) female","(1) NH white",28,17,45000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",2,16,"(1) i earned more","(2) democrat",8,"(0) don't approve or don't know","(4) good"
26315,"(1) male","(1) NH white",31,14,45000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",9,12,"(1) i earned more","(2) democrat",8,"(1) approve","(4) good"
28536,"(1) male","(1) NH white",53,16,137250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",2,17,"(1) i earned more","(2) democrat",12,"(1) approve","(4) good"
29584,"(1) male","(1) NH white",58,17,17250,"(3) democrat","(1) glb","(0) different sex couple","(1) NH white",7,17,"(3) partner earned more","(2) democrat",30,"(1) approve","(4) good"
31456,"(1) male","(1) NH white",45,13,80000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",0,16,"(3) partner earned more","(3) independent",4,"(1) approve","(5) excellent"
32656,"(2) female","(1) NH white",65,17,137250,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",0,17,"(3) partner earned more","(2) democrat",27,NA,"(5) excellent"
33536,"(1) male","(1) NH white",53,20,2e+05,"(3) democrat","(1) glb","(1) same-sex couple","(2) NH black",9,17,"(2) we earned about the same amount","(2) democrat",15,"(1) approve","(5) excellent"
34341,"(2) female","(1) NH white",34,16,80000,"(3) democrat","(1) glb","(0) different sex couple","(1) NH white",0,16,"(1) i earned more","(3) independent",14,"(1) approve","(5) excellent"
35653,"(1) male","(1) NH white",65,17,45000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",15,13,"(3) partner earned more","(2) democrat",14,NA,"(5) excellent"
36493,"(1) male","(1) NH white",49,16,45000,"(3) democrat","(1) glb","(1) same-sex couple","(1) NH white",3,16,"(3) partner earned more","(2) democrat",0.15000000596,NA,"(3) fair"
