IDNO,CLASSCODE,SEX,EXAM,HW,ABSENT,GRADE
1,U3,M,60,80,2,C
2,U4,F,48,81.2,7,D
3,U4,F,57,90.8,0,D
4,U3,M,63,94,7,C
5,U4,F,51,91.8,3,C
6,U3,M,78,88.6,16,C
7,U3,M,81,97.3,0,B
8,U3,M,78,93.9,4,B
9,U3,M,96,99,4,A
10,U3,F,69,93,7,C
11,U3,M,63,91.7,6,C
12,U3,M,63,99.1,3,B
13,U3,F,72,91.5,2,B
14,U3,F,63,95.7,1,B
15,U3,M,42,83.1,5,F
16,U2,F,60,88.4,1,B
17,U3,F,60,98.5,0,B
18,U2,F,81,88.7,1,B
19,U2,F,81,97.8,3,A
20,U4,F,69,92.6,2,B
21,U2,F,45,55.9,7,F
22,U3,F,48,99.7,1,D
23,U1,M,78,96.4,0,B
24,U3,F,54,61.4,9,D
25,U4,F,78,100,0,B
26,U4,F,45,84.7,5,D
27,U4,M,39,93.2,8,D
28,U3,M,75,93.5,9,B
29,U4,F,87,99.9,0,B
30,U3,F,72,99.8,0,B
31,U3,F,78,98.9,1,A
32,U3,F,57,90.6,7,C
33,U3,F,78,98.4,1,B
34,U3,F,96,99.7,2,A
35,U4,M,66,90.7,6,C
36,U4,M,75,91.4,1,B
37,U3,M,66,93.6,0,C
38,U3,M,93,97.8,5,A
39,U4,F,57,97.1,7,C
40,U3,F,90,98.9,5,B
41,U2,F,84,99.5,0,B
42,U3,F,84,99.8,1,B
43,U3,M,96,100,0,A
44,U3,M,75,90.1,2,B
45,U3,F,54,99.8,1,C
46,U3,F,54,99.7,3,C
47,U2,F,78,99.4,0,B
48,U1,F,78,93.5,1,B
49,U2,F,78,100,0,A
50,U2,F,63,97.2,0,C
51,U2,M,96,98.2,2,A
52,U2,M,87,98.1,1,A
53,U3,F,66,92.4,5,C
54,U3,F,51,97.5,2,C
55,U3,F,60,93.9,4,C
56,U5,M,45,93.3,11,D
57,U2,F,60,91.7,3,C
58,U4,F,54,98.9,3,C
59,U4,F,54,92.1,15,C
60,U4,M,93,98.6,9,A
61,U3,M,78,93.4,4,B
62,U3,F,81,99.4,1,A
63,U3,F,78,97.8,0,B
64,U3,F,78,99.7,0,A
65,U4,M,66,92.4,0,B
66,U3,F,90,99.9,3,A
67,U3,M,84,93.4,7,B
68,U3,F,66,64.8,9,C
69,U3,M,87,98.1,2,A
70,U2,F,81,100,0,A
71,U2,F,84,96.9,2,A
72,U2,F,66,100,0,B
73,U2,F,66,97.1,2,B
74,U2,F,93,98.5,0,A
75,U3,F,87,99.4,0,A
76,U2,M,81,94.9,0,B
77,U2,F,69,98.2,3,C
78,U4,F,69,95.8,7,C
79,U4,M,93,97.2,1,A
80,U3,M,87,85.1,16,B
81,U4,M,60,78.3,8,B
82,U4,F,87,99,2,B
83,U4,F,105,98.1,5,A
84,U4,F,87,97,5,B
